,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
4,4,odp1209,mPWP-2,3.5438888888888886,0.0818994282023341,18,-0.0461111111111111,0.1148471561730883,18,2,3.408556366543175,0.05754197633643623,#2095DF
12,12,odp1018,mPWP-2,2.88,0.0565685424949238,2,-0.26,0.1272792206135785,2,0,2.988584413822509,-0.3476043390329103,#DF2020
20,20,odp1148,mPWP-2,2.76,0.4565692718525854,5,-0.2579999999999999,0.372904813591887,5,0,2.988584413822509,-0.3476043390329103,#DF2020
28,28,odp1014,mPWP-2,1.924,0.1258173279004128,5,-0.126,0.1364917579929279,5,1,2.1744324500000003,0.27133333333333337,#81DF20
36,36,odp1125,mPWP-2,2.832307692307692,0.1461337083931867,39,-0.6429729729729728,0.2007052131425155,37,0,2.988584413822509,-0.3476043390329103,#DF2020
44,44,odp1210,mPWP-2,3.484615384615384,0.0819964821008991,13,-0.0693846153846153,0.1878587849341176,13,2,3.408556366543175,0.05754197633643623,#2095DF
52,52,odp1208,mPWP-2,3.2401587301587305,0.1492291165861112,63,-0.0488524590163934,0.2241435430005791,61,2,3.408556366543175,0.05754197633643623,#2095DF
60,60,odp1239,mPWP-2,3.1616326530612247,0.2728502866254031,49,-0.496938775510204,0.1567535762701106,49,0,2.988584413822509,-0.3476043390329103,#DF2020
68,68,dsdp594,mPWP-2,3.339130434782608,0.1216520015707346,23,0.3117391304347826,0.4569130827820443,23,2,3.408556366543175,0.05754197633643623,#2095DF
76,76,odp1143,mPWP-2,3.1818518518518517,0.1343842663935442,27,-0.1619999999999999,0.3552833105695098,27,0,2.988584413822509,-0.3476043390329103,#DF2020
84,84,odp1241,mPWP-2,3.374147058823529,0.1855764469081646,17,-0.1537499999999999,0.1614878736417485,16,2,3.408556366543175,0.05754197633643623,#2095DF
100,100,iodpU1338,mPWP-2,3.2971052631578943,0.0874908850724476,19,-0.1332631578947368,0.236783267545394,19,2,3.408556366543175,0.05754197633643623,#2095DF
108,108,odp806,mPWP-2,2.5840000000000005,0.1237739875741264,20,0.1045,0.1817307146070221,20,1,2.1744324500000003,0.27133333333333337,#81DF20
116,116,odp849,mPWP-2,3.7835,0.198819542616705,20,-0.1095,0.303687425870053,20,2,3.408556366543175,0.05754197633643623,#2095DF
124,124,odp1123,mPWP-2,3.3072307692307694,0.157497964984818,13,0.3835,0.1732683371729141,13,2,3.408556366543175,0.05754197633643623,#2095DF
132,132,dsdp593,mPWP-2,2.01529735,0.1224510994403479,4,0.8355,0.0660832807902271,4,1,2.1744324500000003,0.27133333333333337,#81DF20
140,140,odp846,mPWP-2,3.115714285714286,0.1591977240538172,28,-0.2657142857142857,0.2991398604075627,28,0,2.988584413822509,-0.3476043390329103,#DF2020
148,148,odp1123,mPWP-2,3.3072307692307694,0.157497964984818,13,0.3835,0.1732683371729141,13,2,3.408556366543175,0.05754197633643623,#2095DF
